id,category,garhwali,hindi,english
332,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
333,greetings,जै हो!,जय हो!,Greetings!
334,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
335,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
336,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
337,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
338,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
339,food,चाय बनाई दे।,चाय बना दो।,Make tea.
340,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
341,home,भात बणाई दे।,भात बना दो।,Cook the rice.
342,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
343,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
344,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
345,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
346,food,चाय बनाई दे।,चाय बना दो।,Make tea.
347,food,चाय बनाई दे।,चाय बना दो।,Make tea.
348,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
349,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
350,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
351,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
352,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
353,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
354,home,भात बणाई दे।,भात बना दो।,Cook the rice.
355,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
356,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
357,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
